MTV曲库,#genre#
1.家乡,http://em.21dtv.com/songs/60110000.mkv
2.红尘里的花,http://em.21dtv.com/songs/60110001.mkv
3.贴身侍卫,http://em.21dtv.com/songs/60110002.mkv
4.化蝶随你飞,http://em.21dtv.com/songs/60110003.mkv
5.寂寞的夜里想起你,http://em.21dtv.com/songs/60110004.mkv
6.微世界,http://em.21dtv.com/songs/60110005.mkv
7.为爱停留,http://em.21dtv.com/songs/60110006.mkv
8.别说谁离不开谁,http://em.21dtv.com/songs/60110007.mkv
9.忘掉你的美,http://em.21dtv.com/songs/60110008.mkv
10.摆古,http://em.21dtv.com/songs/60110009.mkv
11.舞动快乐,http://em.21dtv.com/songs/60110011.mkv
12.关东女,http://em.21dtv.com/songs/60110012.mkv
13.租爱,http://em.21dtv.com/songs/60110010.mkv
14.策马扬鞭,http://em.21dtv.com/songs/60110013.mkv
15.我们都没错,http://em.21dtv.com/songs/60110015.mkv
16.谢谢我的我,http://em.21dtv.com/songs/60110016.mkv
17.我的爱你并不在乎,http://em.21dtv.com/songs/60110014.mkv
18.重生,http://em.21dtv.com/songs/60110017.mkv
19.国家,http://em.21dtv.com/songs/60110020.mkv
20.尘缘情歌,http://em.21dtv.com/songs/60110018.mkv
21.我的爱你并不在乎,http://em.21dtv.com/songs/60110019.mkv
22.小小,http://em.21dtv.com/songs/60110021.mkv
23.恋爱转机,http://em.21dtv.com/songs/60110022.mkv
24.我的自卑感,http://em.21dtv.com/songs/60110023.mkv
25.平凡的梦,http://em.21dtv.com/songs/60110024.mkv
26.解开,http://em.21dtv.com/songs/60110025.mkv
27.爱在心里,http://em.21dtv.com/songs/60110026.mkv
28.HELLO新年,http://em.21dtv.com/songs/60110027.mkv
29.飞天神韵,http://em.21dtv.com/songs/60110028.mkv
分手的那一夜,http://em.21dtv.com/songs/60110030.mkv
等你回来,http://em.21dtv.com/songs/60110031.mkv
酥手愿,http://em.21dtv.com/songs/60110033.mkv
八戒八戒我的郎,http://em.21dtv.com/songs/60110032.mkv
错爱,http://em.21dtv.com/songs/60110035.mkv
改变你的命运【英文】,http://em.21dtv.com/songs/60110034.mkv
牵过的手,http://em.21dtv.com/songs/60110029.mkv
